cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95
LHS#127,24,225.22299874406832,290.1002677141264,122.74721088721303,54.29563650616188,1.0,12141.307659128253,10.0,0.0,42,61501385.75985994,5038.265172687255,0.0,0.0,0.0
LHS#128,24,120.66781520705891,269.6462790937526,309.3278654418922,319.43144716038125,1.0,26193.114573159237,10.0,0.0,42,54822389.946189806,1970.310463007648,0.0,0.0,0.0
LHS#129,24,180.9247648774559,176.96454414841858,57.85845549304628,159.04213953383623,1.0,9391.13897289498,10.0,0.0,42,73438613.70781937,7792.1960613425945,0.0,0.0,0.0
LHS#130,24,331.03250197523863,124.03314123221482,151.84703721000503,405.1624169520959,1.0,31623.067924531482,10.0,0.0,42,166854237.15593556,5227.046469115636,0.0,0.0,0.0
LHS#131,24,357.56931699219695,291.0959780050064,351.16524439810513,335.846216071218,1.0,24912.463493338633,10.0,0.0,42,33179044.89833666,1217.4828007814801,61.707541039198986,0.0,0.0
LHS#132,24,242.35854310890954,307.15510428037396,377.750670500612,222.81514553549536,1.0,23150.83051139493,10.0,0.0,42,22799802.22916229,872.0074634003881,0.0,0.0,0.0
LHS#133,24,52.8478404757291,300.58638739584876,269.9025651794755,121.38727778297256,1.0,38548.11112519828,10.0,0.0,42,106948761.41894719,2732.152223680413,0.0,0.0,0.0
LHS#134,24,269.76643038042084,95.06971128386547,159.4755717205041,497.8590150992868,1.0,22882.856472122072,10.0,0.0,42,128027123.6852256,5502.201707521481,0.0,0.0,0.0
LHS#135,24,73.18612795419257,231.92226806475594,338.2980932575877,448.8841689779103,1.0,19627.66675390113,10.0,0.0,42,40111335.525488906,1802.6409287144638,0.0,0.0,0.0
LHS#136,24,359.1331293644093,306.4658024907886,223.13949356632324,207.53279641566206,1.0,13048.400880718524,10.0,0.0,42,38437481.894355334,2849.9788811821472,72.85864303003706,0.0,0.0
LHS#137,24,148.4251353127321,262.4612613062351,125.50379605205414,120.37791810447358,1.0,39454.34176475349,10.0,0.0,42,225815281.6741686,5709.477535502446,0.0,0.0,0.0
LHS#138,24,73.68081343905506,136.97629099117665,90.35385707368565,127.97843294008022,1.0,22344.71981517344,10.0,0.0,42,182386901.5741024,8145.611892422439,0.0,0.0,0.0
LHS#139,24,81.66484512740317,196.71771459040005,271.87052669713444,169.08189949179604,1.0,24393.58566314667,10.0,0.0,42,82355011.66397779,3295.5076478821757,0.0,0.0,0.0
LHS#140,24,94.01492639952542,211.39034804164194,254.19946140777688,191.04282799369955,1.0,4699.983054165423,10.0,0.0,42,18377750.80533353,3502.092194029432,0.0,0.0,0.0
LHS#141,24,224.94515359597978,260.6568136720528,178.9433631252409,196.34007366275742,1.0,31313.042489522315,10.0,0.0,42,129491529.13432758,4098.70584351957,0.0,0.0,0.0
LHS#142,24,136.6160507627875,242.08320200110725,156.61554583884322,309.915408042454,1.0,6841.41005734829,10.0,0.0,42,37164197.0533566,5218.946665177451,0.0,0.0,0.0
LHS#143,24,89.52655570491297,255.59756741936707,262.6486744139912,201.25048178858557,1.0,8011.99008449638,10.0,0.0,42,26242419.078551307,3019.404045651177,0.0,0.0,0.0
LHS#144,24,228.79833465236982,227.2227728089845,350.3760943149082,96.57522119496049,1.0,20096.87836113609,10.0,0.0,42,32854759.329412498,1548.502938773469,0.0,0.0,0.0
LHS#145,24,149.32048243362317,182.44965659607323,275.3861158129153,176.3894216726255,1.0,35878.28304844221,10.0,0.0,42,111068112.36807108,3041.063901434307,0.0,0.0,0.0
LHS#146,24,312.53669239140544,122.88171997610162,268.1742007055864,213.23652989398934,1.0,5258.750474634969,10.0,0.0,42,19211234.137669466,3312.685477663511,0.0,0.0,0.0
LHS#147,24,369.43945797611855,316.0158981946768,253.46156730796736,306.0602692954843,1.0,34096.980377485,10.0,0.0,42,82626866.91579773,2369.15820545561,97.98864684585885,0.0,0.0
