cenario,T,K_s,K_r,K_n,c1,c2,pi_u,pi_c,gamma,seed,custo_total,energia_nao_suprida,curtailment_total,lambda_medio,lambda_p95,pct_deficit,pct_interior,pct_excesso
MC#69,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4695558,71967669.92402145,7097.766992402145,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#70,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7956799,70263793.07131842,6927.379307131843,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#71,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,1894713,70579281.29759812,6958.928129759812,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#72,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4629405,70267442.68631116,6927.744268631117,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#73,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,1299215,70227701.33520907,6923.770133520906,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#74,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6864782,72467212.03384101,7147.721203384101,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
MC#75,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4757049,70654800.49724647,6966.480049724649,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#76,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,3301963,70902436.81141779,6991.243681141777,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
MC#77,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,2269093,71689820.59347929,7069.982059347929,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
MC#78,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,5644998,71936110.57830286,7094.611057830287,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#79,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6698139,71229985.33953357,7023.998533953358,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#80,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,9403060,71857567.49590793,7086.756749590795,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#81,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4371519,70192368.94872989,6920.236894872989,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
MC#82,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,1606881,69498561.37288693,6850.8561372886925,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#83,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8326781,71058406.35763672,7006.840635763671,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#84,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6297643,71590275.80110061,7060.0275801100615,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#85,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7002651,70476454.10684747,6948.645410684747,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#86,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,972266,70333837.77155778,6934.383777155777,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#87,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,3123666,70446058.1002709,6945.60581002709,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#88,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,7678439,71298919.61535527,7030.891961535526,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#89,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8322598,70849508.4295313,6985.9508429531315,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#90,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,4352166,71467837.71457404,7047.783771457403,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
MC#91,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8047643,72068881.95622143,7107.888195622143,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#92,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8416918,70012263.26913726,6902.226326913726,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#93,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,3874783,71453596.95969573,7046.359695969573,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#94,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,8980876,70531969.43942674,6954.196943942673,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#95,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,2883281,70147506.13276085,6915.750613276085,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#96,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,2395577,71246741.82195161,7025.674182195161,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#97,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6824955,70185911.76552755,6919.591176552754,0.0,10000.0,10000.0,1.0,0.0,0.0
MC#98,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,6367618,70505957.9065288,6951.595790652878,0.0,9999.999998758236,10000.0,1.0,0.0,0.0
MC#99,24,100.0,80.0,150.0,200.0,1.0,10000.0,10.0,0.0,1397524,71405714.33363946,7041.571433363946,0.0,9999.999999379119,10000.0,1.0,0.0,0.0
